"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CC0402KRX5R6BB474","C0402","Конденсатор керамический 0.47мкФх10В±10% X5R -55...85°C SMD-0402 CC0402KRX5R6BB474 «Yageo»","0.47мк","*","C?","Конденсатор керамический 0.47мкФх10В±10% X5R -55...85°C SMD-0402 CC0402KRX5R6BB474 «Yageo»"
"CC0402KRX5R6BB475","C0402","Конденсатор керамический 4.7мкФх10В±10% X5R -55...85°C SMD-0402 CC0402KRX5R6BB475 «Yageo»","4.7мк","*","C?","Конденсатор керамический 4.7мкФх10В±10% X5R -55...85°C SMD-0402 CC0402KRX5R6BB475 «Yageo»"
"CC0402KRX7R7BB104","C0402","Конденсатор керамический 0.1мкФх16В SMD 0402 CC0402KRX7R7BB104 «Yageo»","0,1","*","C?","Конденсатор керамический 0.1мкФх16В SMD 0402 CC0402KRX7R7BB104 «Yageo»"
"CC0402MRX5R6BB106","C0402","Конденсатор керамический 10мкФх10В±20% X5R -55...85°C SMD-0402 CC0402MRX5R6BB106 «Yageo»","10мк","*","C?","Конденсатор керамический 10мкФх10В±20% X5R -55...85°C SMD-0402 CC0402MRX5R6BB106 «Yageo»"
"CC0603CRNPO9BN1R0","C0603","Конденсатор керамический 1пФ 50В CC0603CRNPO9BN1R0 0603 -55...125°C "Yageo"","1пФ","*","C?","Конденсатор керамический 1пФ 50В CC0603CRNPO9BN1R0 0603 -55...125°C "Yageo""
"CC0603CRNPO9BN5R0","C0603","Конденсатор керамический 5пФ 50В CC0603CRNPO9BN5R0 0603 -55...125°C "Yageo"","5пФ","*","C?","Конденсатор керамический 5пФ 50В CC0603CRNPO9BN5R0 0603 -55...125°C "Yageo""
"CC0603FRNPO9BN100","C0603","Конденсатор керамический 10пФ 50В CC0603FRNPO9BN100 0603 -55...125°C "Yageo"","10пФ","*","C?","Конденсатор керамический 10пФ 50В CC0603FRNPO9BN100 0603 -55...125°C "Yageo""
"CC0603JRNPO9BN160","C0603","Конденсатор керамический 16пФ 50В CC0603JRNPO9BN160 0603 -55...125°C "Yageo"","16пФ","*","C?","Конденсатор керамический 16пФ 50В CC0603JRNPO9BN160 0603 -55...125°C "Yageo""
"CC0603JRNPO9BN501","C0603","Конденсатор керамический 500пФ 50В CC0603JRNPO9BN501 0603 -55...125°C "Yageo"","500пФ","*","C?","Конденсатор керамический 500пФ 50В CC0603JRNPO9BN501 0603 -55...125°C "Yageo""
"CC0603JRNPO9BN821","C0603","Конденсатор керамический 820 пФ х 50 В SMD 0603 CC0603JRNPO9BN821 «Yageo»","820","*","C?","Конденсатор керамический 820 пФ х 50 В SMD 0603 CC0603JRNPO9BN821 «Yageo»"
"CC0603JRX7R9BB101","C0603","Конденсатор керамический 100пФ 50В CC0603JRX7R9BB101 0603 -55...125°C "Yageo"","100","*","C?","Конденсатор керамический 100пФ 50В CC0603JRX7R9BB101 0603 -55...125°C "Yageo""
"CC0603JRX7R9BB222","C0603","Конденсатор керамический 2200пФ 50В CC0603JRX7R9BB222 0603 -55...125°C "Yageo"","2200","*","C?","Конденсатор керамический 2200пФ 50В CC0603JRX7R9BB222 0603 -55...125°C "Yageo""
"CC0603JRX7R9BB332","C0603","Конденсатор керамический 3.3нФ 50В CC0603JRX7R9BB332 0603 -55...125°C "Yageo"","3,3нФ","*","C?","Конденсатор керамический 3.3нФ 50В CC0603JRX7R9BB332 0603 -55...125°C "Yageo""
"CC0603JRX7R9BB473","C0603","Конденсатор керамический 0.047мкФ 50В CC0603JRX7R9BB473 0603 -55...125°C "Yageo"","0,047мкФ","*","C?","Конденсатор керамический 0.047мкФ 50В CC0603JRX7R9BB473 0603 -55...125°C "Yageo""
"CC0603KRX7R9BB102","C0603","Конденсатор керамический 1000пФ 50В CC0603KRX7R9BB102 0603 -55...125°C "Yageo"","1000","*","C?","Конденсатор керамический 1000пФ 50В CC0603KRX7R9BB102 0603 -55...125°C "Yageo""
"CC0603KRX7R9BB102_1","C0603","Конденсатор керамический 1нФ 50В CC0603KRX7R9BB102 0603 -55...125°C "Yageo"","1нФ","*","C?","Конденсатор керамический 1нФ 50В CC0603KRX7R9BB102 0603 -55...125°C "Yageo""
"CC0603KRX7R9BB472","C0603","Конденсатор керамический 4700пФ 50В CC0603KRX7R9BB472 0603 -55...125°C "Yageo"","4700пФ","*","C?","Конденсатор керамический 4700пФ 50В CC0603KRX7R9BB472 0603 -55...125°C "Yageo""
